FUNC	EXTERNAL:00000069	wcrtomb	size_t wcrtomb(char * __s, wchar_t __wc, mbstate_t * __ps)
FUNC	EXTERNAL:0000006a	nl_langinfo	char * nl_langinfo(nl_item __item)
FUNC	EXTERNAL:0000006b	raise	int raise(int __sig)
FUNC	EXTERNAL:0000006c	__gmon_start__	undefined __gmon_start__()
DATA	00008000	Elf32_Ehdr_00008000	Elf32_Ehdr	52
DATA	00008034	Elf32_Phdr_ARRAY_00008034	Elf32_Phdr[10]	320
DATA	00008174	s_/lib/ld-linux-armhf.so.3_00008174	TerminatedCString	25
DATA	00008190	NoteAbiTag_00008190	NoteAbiTag	32
DATA	000081b0	__DT_SYMTAB	Elf32_Sym[114]	1824
DATA	00008d8c	__DT_HASH	dword	4
DATA	000090e0	__DT_VERSYM	word	2
DATA	00009294	__DT_REL	Elf32_Rel[4]	32
DATA	000092b4	__DT_JMPREL	Elf32_Rel[105]	840
FUNC	000095fc	_init	int _init(EVP_PKEY_CTX * ctx)
DATA	00009618	DAT_00009618	undefined4	4
FUNC	0000961c	__libc_start_main	undefined __libc_start_main()
FUNC	00009628	abort	void abort()
FUNC	00009640	vfprintf	int vfprintf(FILE * __s, char * __format, __gnuc_va_list __arg)
FUNC	0000964c	fflush	int fflush(FILE * __stream)
FUNC	00009658	fileno	int fileno(FILE * __stream)
FUNC	00009664	fsync	int fsync(int __fd)
FUNC	00009670	sprintf	int sprintf(char * __s, char * __format, ...)
FUNC	0000967c	fopen	FILE * fopen(char * __filename, char * __modes)
FUNC	00009688	fclose	int fclose(FILE * __stream)
FUNC	00009694	strtol	long strtol(char * __nptr, char * * __endptr, int __base)
FUNC	000096a0	printf	int printf(char * __format, ...)
FUNC	000096ac	stpcpy	char * stpcpy(char * __dest, char * __src)
FUNC	000096b8	strcpy	char * strcpy(char * __dest, char * __src)
FUNC	000096c4	puts	int puts(char * __s)
FUNC	000096d0	memcpy	void * memcpy(void * __dest, void * __src, size_t __n)
FUNC	000096dc	readlink	ssize_t readlink(char * __path, char * __buf, size_t __len)
FUNC	000096e8	strrchr	char * strrchr(char * __s, int __c)
FUNC	000096f4	fgets	char * fgets(char * __s, int __n, FILE * __stream)
FUNC	00009700	vsnprintf	int vsnprintf(char * __s, size_t __maxlen, char * __format, __gnuc_va_list __arg)
FUNC	0000970c	shmget	int shmget(key_t __key, size_t __size, int __shmflg)
FUNC	00009718	shmat	void * shmat(int __shmid, void * __shmaddr, int __shmflg)
FUNC	00009724	shmdt	int shmdt(void * __shmaddr)
FUNC	00009730	usleep	int usleep(__useconds_t __useconds)
FUNC	0000973c	malloc	void * malloc(size_t __size)
FUNC	00009748	pthread_create	int pthread_create(pthread_t * __newthread, pthread_attr_t * __attr, __start_routine * __start_routine, void * __arg)
FUNC	00009754	putchar	int putchar(int __c)
FUNC	00009760	free	void free(void * __ptr)
FUNC	0000976c	fread	size_t fread(void * __ptr, size_t __size, size_t __n, FILE * __stream)
FUNC	00009778	memset	void * memset(void * __s, int __c, size_t __n)
FUNC	00009784	sync	void sync()
FUNC	00009790	reboot	int reboot(int __howto)
FUNC	0000979c	access	int access(char * __name, int __type)
FUNC	000097a8	read	ssize_t read(int __fd, void * __buf, size_t __nbytes)
FUNC	000097b4	close	int close(int __fd)
FUNC	000097c0	strcat	char * strcat(char * __dest, char * __src)
FUNC	000097cc	open	int open(char * __file, int __oflag, ...)
FUNC	000097d8	__errno_location	int * __errno_location()
FUNC	000097e4	gettimeofday	int gettimeofday(timeval * __tv, __timezone_ptr_t __tz)
FUNC	000097f0	fseek	int fseek(FILE * __stream, long __off, int __whence)
FUNC	000097fc	ftell	long ftell(FILE * __stream)
FUNC	00009808	compress	undefined compress()
FUNC	00009814	uncompress	undefined uncompress()
FUNC	00009820	strcmp	int strcmp(char * __s1, char * __s2)
FUNC	0000982c	mmap	void * mmap(void * __addr, size_t __len, int __prot, int __flags, int __fd, __off_t __offset)
FUNC	00009838	munmap	int munmap(void * __addr, size_t __len)
FUNC	00009844	strlen	size_t strlen(char * __s)
FUNC	00009850	strchr	char * strchr(char * __s, int __c)
FUNC	0000985c	__isoc99_sscanf	undefined __isoc99_sscanf()
FUNC	00009868	strstr	char * strstr(char * __haystack, char * __needle)
FUNC	00009874	pthread_mutex_unlock	int pthread_mutex_unlock(pthread_mutex_t * __mutex)
FUNC	00009880	pthread_mutex_lock	int pthread_mutex_lock(pthread_mutex_t * __mutex)
FUNC	0000988c	pthread_cond_signal	int pthread_cond_signal(pthread_cond_t * __cond)
FUNC	00009898	pthread_cond_wait	int pthread_cond_wait(pthread_cond_t * __cond, pthread_mutex_t * __mutex)
FUNC	000098a4	dlsym	undefined dlsym()
FUNC	000098b0	dlopen	undefined dlopen()
FUNC	000098bc	dlerror	undefined dlerror()
FUNC	000098c8	dlclose	undefined dlclose()
FUNC	000098d4	calloc	void * calloc(size_t __nmemb, size_t __size)
FUNC	000098e0	operator.new	void * operator.new(uint param_1)
